TOTAL ROUTES: 351

VERB	PATH	SCREEN	GUARDS	FILE
POST	/api/invoices/:invoice/reminders	invoice:edit	AuthGuard+ScreenGuard	invoices/invoices.controller.ts
POST	/api/invoices/:invoice/send	invoice:edit	AuthGuard+ScreenGuard	invoices/invoices.controller.ts
GET	/api/leads	lead:view	AuthGuard+ScreenGuard	leads/leads.controller.ts
POST	/api/leads	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
DELETE	/api/leads/:id	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
GET	/api/leads/:id	lead:view	AuthGuard+ScreenGuard	leads/leads.controller.ts
PUT	/api/leads/:id	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
POST	/api/leads/:id/browser-call	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
POST	/api/leads/:id/call	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
POST	/api/leads/:id/calls	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
DELETE	/api/leads/:id/calls/:callId	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
DELETE	/api/leads/:id/calls/:callId/recording	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
GET	/api/leads/:id/calls/:callId/recording	lead:view	AuthGuard+ScreenGuard	leads/leads.controller.ts
POST	/api/leads/:id/calls/:callId/recording	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
POST	/api/leads/:id/email	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
POST	/api/leads/:id/email/generate	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
POST	/api/leads/:id/messages	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
DELETE	/api/leads/:id/messages/:messageId	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
PUT	/api/leads/:id/messages/:messageId	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
POST	/api/leads/:id/notes	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
DELETE	/api/leads/:id/notes/:noteId	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
PUT	/api/leads/:id/notes/:noteId	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
POST	/api/leads/:id/showings	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
DELETE	/api/leads/:id/showings/:showingId	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
PUT	/api/leads/:id/showings/:showingId	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
POST	/api/leads/:id/tasks	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
DELETE	/api/leads/:id/tasks/:taskId	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
PUT	/api/leads/:id/tasks/:taskId	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
GET	/api/leads/books	-	AuthGuard+ScreenGuard	leads/leads.controller.ts
POST	/api/leads/bulk-delete	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
GET	/api/leads/deleted	lead:view	AuthGuard+ScreenGuard	leads/leads.controller.ts
DELETE	/api/leads/deleted/:id	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
POST	/api/leads/deleted/:id/restore	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
POST	/api/leads/export	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
POST	/api/leads/import	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
GET	/api/leads/import/:jobId	lead:view	AuthGuard+ScreenGuard	leads/leads.controller.ts
GET	/api/leads/imports/recent	lead:view	AuthGuard+ScreenGuard	leads/leads.controller.ts
GET	/api/leads/options	lead:view	AuthGuard+ScreenGuard	leads/leads.controller.ts
GET	/api/leads/showings	lead:view	AuthGuard+ScreenGuard	leads/leads.controller.ts
POST	/api/leads/tag	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
DELETE	/api/leads/tags	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
GET	/api/leads/tags	lead:view	AuthGuard+ScreenGuard	leads/leads.controller.ts
POST	/api/leads/tags	lead:edit	AuthGuard+ScreenGuard	leads/leads.controller.ts
GET	/api/leads/tasks	lead:view	AuthGuard+ScreenGuard	leads/leads.controller.ts
POST	/api/leads/transfer-ownership	-	AuthGuard+ScreenGuard	leads/leads.controller.ts
POST	/api/login	-	-	auth/auth.controller.ts
POST	/api/logout	-	AuthGuard	auth/auth.controller.ts
GET	/api/mail-accounts	-	AuthGuard+AdminGuard	email/email.controller.ts
POST	/api/mail-accounts	-	AuthGuard+AdminGuard	email/email.controller.ts
DELETE	/api/mail-accounts/:mailAccount	-	AuthGuard+AdminGuard	email/email.controller.ts
PUT	/api/mail-accounts/:mailAccount	-	AuthGuard+AdminGuard	email/email.controller.ts
POST	/api/mail-accounts/:mailAccount/default	-	AuthGuard+AdminGuard	email/email.controller.ts
POST	/api/mail-accounts/:mailAccount/test	-	AuthGuard+AdminGuard	email/email.controller.ts
GET	/api/mail-events	-	AuthGuard+AdminGuard	email/email.controller.ts
GET	/api/marketing-inventory	inventory:view	AuthGuard+ScreenGuard	marketing-inventory/marketing-inventory.controller.ts
POST	/api/marketing-inventory	inventory:edit	AuthGuard+ScreenGuard	marketing-inventory/marketing-inventory.controller.ts
DELETE	/api/marketing-inventory/:id	inventory:edit	AuthGuard+ScreenGuard	marketing-inventory/marketing-inventory.controller.ts
GET	/api/marketing-inventory/:id	inventory:view	AuthGuard+ScreenGuard	marketing-inventory/marketing-inventory.controller.ts
PUT	/api/marketing-inventory/:id	inventory:edit	AuthGuard+ScreenGuard	marketing-inventory/marketing-inventory.controller.ts
POST	/api/marketing-inventory/:id/restore	inventory:edit	AuthGuard+ScreenGuard	marketing-inventory/marketing-inventory.controller.ts
GET	/api/marketing-inventory/options	inventory:edit	AuthGuard+ScreenGuard	marketing-inventory/marketing-inventory.controller.ts
GET	/api/meta/ad-accounts	meta:view	AuthGuard+ScreenGuard	meta/meta.controller.ts
POST	/api/meta/ad-accounts/select	meta:edit	AuthGuard+ScreenGuard	meta/meta.controller.ts
GET	/api/meta/auth-url	meta:edit	AuthGuard+ScreenGuard	meta/meta.controller.ts
GET	/api/meta/callback	-	-	meta/meta-public.controller.ts
POST	/api/meta/data-deletion	-	-	meta/meta-public.controller.ts
GET	/api/meta/diagnostics	meta:edit	AuthGuard+ScreenGuard	meta/meta.controller.ts
DELETE	/api/meta/disconnect	meta:edit	AuthGuard+ScreenGuard	meta/meta.controller.ts
GET	/api/meta/forms	meta:view	AuthGuard+ScreenGuard	meta/meta.controller.ts
